,Autauga
11/2/21,13
11/3/21,13
11/4/21,20
11/5/21,10
11/6/21,13
11/7/21,4
11/8/21,4
11/9/21,15
11/10/21,5
11/11/21,18
11/12/21,10
11/13/21,18
11/14/21,2
11/15/21,4
11/16/21,12
11/17/21,4
11/18/21,16
11/19/21,18
11/20/21,11
11/21/21,3
11/22/21,6
11/23/21,18
11/24/21,13
11/25/21,4
11/26/21,0
11/27/21,5
11/28/21,0
11/29/21,0
11/30/21,9
12/1/21,1
12/2/21,4
12/3/21,14
12/4/21,15
12/5/21,1
12/6/21,1
12/7/21,4
12/8/21,9
12/9/21,9
12/10/21,5
12/11/21,7
12/12/21,3
12/13/21,6
12/14/21,32
12/15/21,4
12/16/21,5
12/17/21,15
12/18/21,2
12/19/21,6
12/20/21,10
12/21/21,13
12/22/21,19
12/23/21,35
12/24/21,12
12/25/21,27
12/26/21,4
12/27/21,11
12/28/21,28
12/29/21,58
12/30/21,67
12/31/21,65
1/1/22,0
1/2/22,166
1/3/22,72
1/4/22,91
1/5/22,131
1/6/22,160
1/7/22,151
1/8/22,67
1/9/22,119
1/10/22,54
1/11/22,73
1/12/22,78
1/13/22,0
1/14/22,0
1/15/22,0
1/16/22,444
1/17/22,58
1/18/22,56
1/19/22,95
1/20/22,95
1/21/22,91
1/22/22,114
1/23/22,58
1/24/22,60
1/25/22,69
1/26/22,-69
1/27/22,0
1/28/22,452
1/29/22,588
1/30/22,207
1/31/22,244
2/1/22,40
2/2/22,44
2/3/22,0
2/4/22,144
2/5/22,29
2/6/22,0
2/7/22,47
2/8/22,43
2/9/22,32
2/10/22,34
2/11/22,61
2/12/22,72
2/13/22,19
2/14/22,18
2/15/22,25
2/16/22,16
2/17/22,21
2/18/22,22
2/19/22,11
2/20/22,11
2/21/22,5
2/22/22,6
2/23/22,9
2/24/22,17
2/25/22,11
2/26/22,24
2/27/22,6
2/28/22,1
3/1/22,10
3/2/22,8
3/3/22,-2
3/4/22,4
3/5/22,0
3/6/22,0
3/7/22,9
3/8/22,8
3/9/22,8
3/10/22,4
3/11/22,4
3/12/22,0
3/13/22,0
3/14/22,6
3/15/22,2
3/16/22,4
3/17/22,3
3/18/22,4
3/19/22,0
3/20/22,0
3/21/22,4
3/22/22,7
3/23/22,3
3/24/22,11
3/25/22,4
3/26/22,0
3/27/22,0
3/28/22,5
3/29/22,3
3/30/22,2
3/31/22,34
4/1/22,0
4/2/22,4
4/3/22,0
4/4/22,30
4/5/22,3
4/6/22,32
4/7/22,18
4/8/22,2
4/9/22,0
4/10/22,0
4/11/22,3
4/12/22,2
4/13/22,2
4/14/22,0
4/15/22,1
4/16/22,0
4/17/22,0
4/18/22,19
4/19/22,-16
4/20/22,2
4/21/22,2
4/22/22,3
4/23/22,0
4/24/22,0
4/25/22,52
4/26/22,4
4/27/22,3
4/28/22,5
4/29/22,1
4/30/22,0
5/1/22,0
5/2/22,6
5/3/22,2
5/4/22,4
5/5/22,1
5/6/22,0
5/7/22,0
5/8/22,0
5/9/22,6
5/10/22,6
5/11/22,1
5/12/22,7
5/13/22,3
5/14/22,0
5/15/22,0
5/16/22,7
5/17/22,1
5/18/22,2
5/19/22,12
5/20/22,6
5/21/22,0
5/22/22,0
5/23/22,13
5/24/22,5
5/25/22,7
5/26/22,14
5/27/22,9
5/28/22,0
5/29/22,0
5/30/22,0
5/31/22,24
6/1/22,6
6/2/22,9
6/3/22,0
6/4/22,0
6/5/22,0
6/6/22,54
6/7/22,20
6/8/22,13
6/9/22,19
6/10/22,11
6/11/22,0
6/12/22,0
6/13/22,39
6/14/22,24
6/15/22,16
6/16/22,19
6/17/22,18
6/18/22,0
6/19/22,0
6/20/22,68
6/21/22,34
6/22/22,17
6/23/22,30
6/24/22,40
6/25/22,0
6/26/22,0
6/27/22,68
6/28/22,28
6/29/22,24
6/30/22,16
7/1/22,26
7/2/22,0
7/3/22,0
7/4/22,51
7/5/22,8
7/6/22,78
7/7/22,68
7/8/22,34
7/9/22,0
